Fecha,estado_sensor_monitoreado
11/09/2022 21:47:35,False
11/09/2022 21:47:37,False
11/09/2022 21:47:39,False
11/09/2022 21:47:41,False
11/09/2022 21:47:44,False
11/09/2022 21:47:46,False
11/09/2022 21:47:48,False
11/09/2022 21:47:50,False
11/09/2022 21:47:52,False
11/09/2022 21:47:54,False
11/09/2022 21:47:56,False
11/09/2022 21:47:58,False
11/09/2022 21:48:00,False
11/09/2022 21:48:02,False
11/09/2022 21:48:04,False
11/09/2022 21:48:06,False
11/09/2022 21:48:08,False
11/09/2022 21:48:10,False
11/09/2022 21:48:12,False
11/09/2022 21:48:14,False
11/09/2022 21:48:16,False
11/09/2022 21:48:18,False
11/09/2022 21:48:20,False
11/09/2022 21:48:23,False
11/09/2022 21:48:25,False
11/09/2022 21:48:27,False
11/09/2022 21:48:29,False
11/09/2022 21:48:31,False
11/09/2022 21:48:33,False
11/09/2022 21:48:35,False
11/09/2022 21:48:37,False
11/09/2022 21:48:39,False
11/09/2022 21:48:41,False
11/09/2022 21:48:43,False
11/09/2022 21:48:45,False
11/09/2022 21:48:47,False
11/09/2022 21:48:49,False
11/09/2022 21:48:51,False
11/09/2022 21:48:53,False
11/09/2022 21:48:55,False
11/09/2022 21:48:57,False
11/09/2022 21:48:59,False
11/09/2022 21:49:01,False
11/09/2022 21:49:04,False
11/09/2022 21:49:06,False
11/09/2022 21:49:08,False
11/09/2022 21:49:10,False
11/09/2022 21:49:12,False
11/09/2022 21:49:14,False
11/09/2022 21:49:16,False
11/09/2022 21:49:18,False
11/09/2022 21:49:20,False
11/09/2022 21:49:22,False
11/09/2022 21:49:24,False
11/09/2022 21:49:26,False
11/09/2022 21:49:28,False
11/09/2022 21:49:30,False
11/09/2022 21:49:32,False
11/09/2022 21:49:34,False
11/09/2022 21:49:36,False
11/09/2022 21:49:38,False
11/09/2022 21:49:40,False
11/09/2022 21:49:43,False
11/09/2022 21:49:45,False
11/09/2022 21:49:47,False
11/09/2022 21:49:49,False
11/09/2022 21:49:51,False
11/09/2022 21:49:53,False
11/09/2022 21:49:55,False
11/09/2022 21:49:57,False
11/09/2022 21:49:59,False
11/09/2022 21:50:01,False
11/09/2022 21:50:03,False
11/09/2022 21:50:05,False
11/09/2022 21:50:07,False
11/09/2022 21:50:09,False
11/09/2022 21:50:11,False
11/09/2022 21:50:13,False
11/09/2022 21:50:15,False
11/09/2022 21:50:17,False
11/09/2022 21:50:19,False
11/09/2022 21:50:21,False
11/09/2022 21:50:24,False
11/09/2022 21:50:26,False
11/09/2022 21:50:28,False
11/09/2022 21:50:30,False
11/09/2022 21:50:32,False
11/09/2022 21:50:34,False
11/09/2022 21:50:36,False
11/09/2022 21:50:38,False
11/09/2022 21:50:40,False
11/09/2022 21:50:42,False
11/09/2022 21:50:44,False
11/09/2022 21:50:46,False
11/09/2022 21:50:48,False
11/09/2022 21:50:50,False
11/09/2022 21:50:52,False
11/09/2022 21:50:54,False
11/09/2022 21:50:56,False
11/09/2022 21:50:58,False
11/09/2022 21:51:00,False
11/09/2022 21:51:02,False
11/09/2022 21:51:05,False
11/09/2022 21:51:07,False
11/09/2022 21:51:09,False
11/09/2022 21:51:11,False
11/09/2022 21:51:13,False
11/09/2022 21:51:15,False
11/09/2022 21:51:17,False
11/09/2022 21:51:19,False
11/09/2022 21:51:21,False
11/09/2022 21:51:23,False
11/09/2022 21:51:25,False
11/09/2022 21:51:27,False
11/09/2022 21:51:29,False
11/09/2022 21:51:31,False
11/09/2022 21:51:33,False
11/09/2022 21:51:35,False
11/09/2022 21:51:37,False
11/09/2022 21:51:39,False
11/09/2022 21:51:41,False
11/09/2022 21:51:43,False
11/09/2022 21:51:46,False
11/09/2022 21:51:48,False
11/09/2022 21:51:50,False
11/09/2022 21:51:52,False
11/09/2022 21:51:54,False
11/09/2022 21:51:56,False
11/09/2022 21:51:58,False
11/09/2022 21:52:00,False
11/09/2022 21:52:02,False
11/09/2022 21:52:04,False
11/09/2022 21:52:06,False
11/09/2022 21:52:08,False
11/09/2022 21:52:10,False
11/09/2022 21:52:12,False
11/09/2022 21:52:14,False
11/09/2022 21:52:16,False
11/09/2022 21:52:18,False
11/09/2022 21:52:20,False
11/09/2022 21:52:22,False
11/09/2022 21:52:24,False
11/09/2022 21:52:27,False
11/09/2022 21:52:29,False
11/09/2022 21:52:31,False
11/09/2022 21:52:33,False
11/09/2022 21:52:35,False
11/09/2022 21:52:37,False
11/09/2022 21:52:39,False
11/09/2022 21:52:41,False
11/09/2022 21:52:43,False
11/09/2022 21:52:45,False
11/09/2022 21:52:47,False
11/09/2022 21:52:49,False
11/09/2022 21:52:51,False
11/09/2022 21:52:53,False
11/09/2022 21:52:55,False
11/09/2022 21:52:57,False
11/09/2022 21:52:59,False
11/09/2022 21:53:01,False
11/09/2022 21:53:03,False
11/09/2022 21:53:05,False
11/09/2022 21:53:07,False
11/09/2022 21:53:10,False
11/09/2022 21:53:12,False
11/09/2022 21:53:14,False
11/09/2022 21:53:16,False
11/09/2022 21:53:18,False
11/09/2022 21:53:20,False
11/09/2022 21:53:22,False
11/09/2022 21:53:24,False
11/09/2022 21:53:26,False
11/09/2022 21:53:28,False
11/09/2022 21:53:30,False
11/09/2022 21:53:32,False
11/09/2022 21:53:34,False
11/09/2022 21:53:36,False
11/09/2022 21:53:38,False
11/09/2022 21:53:40,False
11/09/2022 21:53:42,False
11/09/2022 21:53:44,False
11/09/2022 21:53:46,False
11/09/2022 21:53:49,False
11/09/2022 21:53:51,False
11/09/2022 21:53:53,False
11/09/2022 21:53:55,False
11/09/2022 21:53:57,False
11/09/2022 21:53:59,False
11/09/2022 21:54:01,False
11/09/2022 21:54:03,False
11/09/2022 21:54:05,False
11/09/2022 21:54:07,False
11/09/2022 21:54:09,False
11/09/2022 21:54:11,False
11/09/2022 21:54:13,False
11/09/2022 21:54:15,False
11/09/2022 21:54:17,False
11/09/2022 21:54:19,False
11/09/2022 21:54:21,False
11/09/2022 21:54:23,False
11/09/2022 21:54:25,False
11/09/2022 21:54:27,False
11/09/2022 21:54:30,False
11/09/2022 21:54:32,False
11/09/2022 21:54:34,False
11/09/2022 21:54:36,False
11/09/2022 21:54:38,False
11/09/2022 21:54:40,False
11/09/2022 21:54:42,False
11/09/2022 21:54:44,False
11/09/2022 21:54:46,False
11/09/2022 21:54:48,False
11/09/2022 21:54:50,False
11/09/2022 21:54:52,False
11/09/2022 21:54:54,False
11/09/2022 21:54:56,False
11/09/2022 21:54:58,False
11/09/2022 21:55:00,False
11/09/2022 21:55:02,False
11/09/2022 21:55:04,False
11/09/2022 21:55:06,False
11/09/2022 21:55:08,False
11/09/2022 21:55:10,False
11/09/2022 21:55:13,False
11/09/2022 21:55:15,False
11/09/2022 21:55:17,False
11/09/2022 21:55:19,False
11/09/2022 21:55:21,False
11/09/2022 21:55:23,False
11/09/2022 21:55:25,False
11/09/2022 21:55:27,False
11/09/2022 21:55:29,False
11/09/2022 21:55:31,False
11/09/2022 21:55:33,False
11/09/2022 21:55:35,False
11/09/2022 21:55:37,False
11/09/2022 21:55:39,False
11/09/2022 21:55:41,False
11/09/2022 21:55:43,False
11/09/2022 21:55:45,False
11/09/2022 21:55:47,False
11/09/2022 21:55:49,False
11/09/2022 21:55:51,False
11/09/2022 21:55:53,False
